DATE,GDPC1,PCECC96,GDPDEF,GPDIC1,COMPNFB,LP,FFR,CP,M2SL_PCH
1/7/65,8.3441,7.8385,2.88027,6.2683,2.1827,3.6732,4.075,3.98,1.9503
1/10/65,8.3668,7.8662,2.88714,6.2749,2.1973,3.6905,4.159,4.0356,2.1895
1/1/66,8.3909,7.8809,2.89353,6.3518,2.2145,3.7039,4.557,4.0625,1.9232
1/4/66,8.3943,7.8835,2.9017,6.3369,2.2302,3.6969,4.905,4.0703,1.2053
1/7/66,8.4027,7.8948,2.91132,6.3294,2.2444,3.7002,5.403,4.0673,0.5884
1/10/66,8.4109,7.899,2.91966,6.3353,2.2579,3.7065,5.572,4.0521,1.0078
1/1/67,8.4197,7.9047,2.92381,6.3104,2.2713,3.7145,4.84,4.0101,1.6188
1/4/67,8.4203,7.9183,2.9289,6.2736,2.2875,3.7183,4.01,4.012,2.3963
1/7/67,8.4297,7.9234,2.93842,6.3025,2.3009,3.7234,3.89,4.035,2.7158
1/10/67,8.4373,7.9295,2.94948,6.3238,2.3144,3.7263,4.144,4.0859,2.1152
1/1/68,8.4574,7.9532,2.96052,6.3437,2.3409,3.7485,4.758,4.0745,1.7133
1/4/68,8.474,7.9683,2.97098,6.3812,2.3571,3.7577,5.966,4.1031,1.6468
1/7/68,8.4817,7.9869,2.98077,6.3536,2.3732,3.7582,5.939,4.1113,1.9416
1/10/68,8.4857,7.9914,2.99478,6.3644,2.393,3.7558,5.891,4.1368,2.3171
1/1/69,8.5012,8.0024,3.00504,6.4216,2.4065,3.7638,6.536,4.127,1.7074
1/4/69,8.5042,8.0088,3.01769,6.4157,2.4226,3.7556,8.168,4.0999,0.8802
1/7/69,8.5108,8.0137,3.03163,6.4358,2.4403,3.7567,9.002,4.0713,0.6356
1/10/69,8.5059,8.0216,3.04443,6.3863,2.4595,3.7519,8.963,4.0573,0.8612
1/1/70,8.5044,8.0278,3.05843,6.356,2.4775,3.7551,8.603,4.0132,0.3700
1/4/70,8.5059,8.0324,3.07228,6.3582,2.4932,3.7698,7.923,4.0109,0.6749
1/7/70,8.515,8.0411,3.08044,6.3743,2.5094,3.7855,6.742,4.0277,2.2590
1/10/70,8.5043,8.0384,3.09358,6.3198,2.5194,3.7764,5.595,3.9769,2.6884
1/1/71,8.5311,8.0574,3.10866,6.4301,2.5398,3.8054,3.852,4.0969,3.2082
1/4/71,8.5364,8.0665,3.1217,6.458,2.5544,3.8084,4.564,4.1339,3.8622
1/7/71,8.5446,8.0745,3.13184,6.4701,2.568,3.8178,5.475,4.1979,2.9778
1/10/71,8.547,8.0909,3.14014,6.4428,2.5748,3.8091,4.777,4.2303,2.7070
1/1/72,8.5652,8.104,3.15521,6.5066,2.6023,3.8247,3.538,4.2875,3.0095
1/4/72,8.5877,8.1229,3.16142,6.5619,2.6139,3.8442,4.292,4.3017,2.5036
1/7/72,8.5971,8.1382,3.17095,6.576,2.6271,3.85,4.731,4.3439,3.3656
1/10/72,8.6137,8.1614,3.18362,6.5822,2.6458,3.8585,5.118,4.4247,3.3211
1/1/73,8.6381,8.1795,3.19507,6.6392,2.6717,3.8808,6.466,4.5596,2.3751
1/4/73,8.6489,8.179,3.21032,6.6809,2.6855,3.8812,7.768,4.5955,1.6436
1/7/73,8.6437,8.1825,3.22962,6.644,2.7026,3.8717,10.489,4.6167,1.4033
1/10/73,8.6531,8.1795,3.24933,6.679,2.7227,3.8655,10.039,4.6658,1.2885
1/1/74,8.6445,8.1706,3.26805,6.6202,2.7452,3.8632,9.335,4.7243,1.8453
1/4/74,8.6469,8.1742,3.29138,6.6162,2.7711,3.8603,11.105,4.7496,1.2066
1/7/74,8.6374,8.1784,3.32028,6.563,2.8003,3.85,12.204,4.7963,1.0704
1/10/74,8.6335,8.1637,3.34927,6.569,2.8276,3.8592,9.535,4.6813,1.5301
1/1/75,8.6212,8.1721,3.37173,6.3934,2.8575,3.8671,6.449,4.5508,1.9079
1/4/75,8.6283,8.1884,3.38649,6.3631,2.8786,3.883,5.375,4.5992,3.6643
1/7/75,8.6453,8.2025,3.40399,6.4378,2.8961,3.8951,6.155,4.7521,3.6437
1/10/75,8.6587,8.2132,3.42058,6.4653,2.9122,3.896,5.471,4.821,2.4138
1/1/76,8.6809,8.233,3.43111,6.5575,2.9313,3.9107,4.827,4.8881,3.1779
1/4/76,8.6882,8.2421,3.44112,6.5963,2.9499,3.9201,5.196,4.9167,3.0030
1/7/76,8.6937,8.2526,3.45398,6.5998,2.9707,3.9225,5.283,4.9333,2.6569
1/10/76,8.7009,8.2655,3.47172,6.6072,2.9918,3.9254,4.887,4.9351,3.6228
1/1/77,8.7127,8.2772,3.48771,6.6525,3.0105,3.9318,4.656,5.0095,3.3995
1/4/77,8.7319,8.2826,3.50171,6.7217,3.0306,3.9357,5.148,5.0673,2.6931
1/7/77,8.7498,8.292,3.51381,6.7711,3.0499,3.9462,5.8,5.1068,2.3026
1/10/77,8.7498,8.307,3.53517,6.7457,3.067,3.9333,6.505,5.1134,2.0701
1/1/78,8.753,8.3126,3.54962,6.765,3.0932,3.9338,6.752,5.1471,1.8671
1/4/78,8.7909,8.3337,3.56855,6.8279,3.1102,3.9533,7.259,5.2509,1.8665
1/7/78,8.8009,8.3379,3.58538,6.8566,3.1291,3.954,8.068,5.2865,1.8629
1/10/78,8.8143,8.346,3.60566,6.8795,3.1537,3.9604,9.501,5.3466,1.8688
1/1/79,8.8161,8.3511,3.6237,6.8812,3.1791,3.9514,10.107,5.3589,1.4666
1/4/79,8.8172,8.3505,3.6479,6.8803,3.2018,3.9495,10.166,5.3977,2.3712
1/7/79,8.8246,8.3602,3.66954,6.8633,3.2237,3.9481,10.877,5.4196,2.3658
1/10/79,8.8271,8.3626,3.68793,6.8454,3.2488,3.9471,13.497,5.4046,1.4877
1/1/80,8.8302,8.3612,3.70871,6.8385,3.2766,3.952,14.752,5.4083,1.7523
1/4/80,8.8094,8.3384,3.73223,6.7497,3.3034,3.9417,13.225,5.2715,1.4876
1/7/80,8.8082,8.3493,3.75432,6.6814,3.3286,3.9458,9.64,5.3096,3.0218
1/10/80,8.8267,8.3628,3.78004,6.7705,3.3548,3.9558,15.634,5.3417,2.1235
1/1/81,8.8461,8.3661,3.80604,6.859,3.3797,3.9711,16.709,5.3621,1.7112
1/4/81,8.8386,8.3662,3.82566,6.8167,3.3968,3.9581,17.559,5.3064,2.7045
1/7/81,8.8505,8.3708,3.8443,6.8715,3.419,3.9677,17.648,5.3321,1.7722
1/10/81,8.8396,8.3639,3.86145,6.8357,3.4354,3.9573,13.594,5.3161,2.5816
1/1/82,8.8239,8.3713,3.87511,6.7363,3.4616,3.9527,14.196,5.212,2.2634
1/4/82,8.8285,8.3743,3.88802,6.7355,3.4694,3.9528,14.514,5.2223,2.1364
1/7/82,8.8247,8.381,3.90209,6.7263,3.485,3.9547,11,5.197,1.6491
1/10/82,8.8251,8.3984,3.9124,6.6459,3.4997,3.9631,9.278,5.1624,2.2439
1/1/83,8.8381,8.4082,3.91993,6.6799,3.5097,3.9758,8.685,5.1715,5.5148
1/4/83,8.8606,8.4284,3.92733,6.7648,3.5192,3.9972,8.812,5.2749,2.5756
1/7/83,8.8804,8.4461,3.93791,6.8255,3.5245,4.0017,9.45,5.3304,1.5804
1/10/83,8.9011,8.4619,3.94546,6.9184,3.5358,4.007,9.422,5.3558,1.8177
1/1/84,8.9204,8.4702,3.95552,7.0106,3.5472,4.0107,9.688,5.3941,2.1547
1/4/84,8.9376,8.4841,3.96405,7.0426,3.5576,4.0167,10.535,5.398,2.1525
1/7/84,8.9472,8.4915,3.97289,7.064,3.5722,4.0212,11.382,5.358,1.3221
1/10/84,8.9553,8.5044,3.98035,7.051,3.5802,4.0224,9.382,5.3646,2.2155
1/1/85,8.965,8.5212,3.99019,7.0232,3.5929,4.0254,8.475,5.3219,3.0088
1/4/85,8.9738,8.5304,3.9966,7.0401,3.6024,4.0285,7.956,5.3272,1.7695
1/7/85,8.9889,8.5492,4.00261,7.0332,3.6171,4.0412,7.888,5.3466,2.1233
1/10/85,8.9963,8.5513,4.00819,7.0694,3.6359,4.0452,8.054,5.3549,1.4734
1/1/86,9.0056,8.56,4.01315,7.0691,3.6501,4.0571,7.923,5.1753,1.4816
1/4/86,9.0101,8.5709,4.01694,7.0515,3.6616,4.0649,6.938,5.1531,2.6431
1/7/86,9.0196,8.5884,4.02102,7.0242,3.674,4.0692,6.262,5.1446,2.4950
1/10/86,9.025,8.5945,4.02646,7.0272,3.6874,4.0671,6.256,5.1704,2.2139
1/1/87,9.0324,8.5955,4.03279,7.0539,3.6918,4.0626,6.224,5.2355,1.5819
1/4/87,9.0431,8.6091,4.03969,7.0544,3.6993,4.0695,6.617,5.3722,0.8502
1/7/87,9.0518,8.6204,4.04724,7.0545,3.7095,4.0696,6.831,5.4388,0.6194
1/10/87,9.0688,8.6225,4.05517,7.1204,3.7212,4.0793,6.919,5.4765,1.1163
1/1/88,9.074,8.6401,4.06297,7.0712,3.7384,4.0828,6.667,5.52,1.7541
1/4/88,9.087,8.6474,4.07266,7.0948,3.7503,4.0852,7.139,5.5804,1.9353
1/7/88,9.0928,8.6563,4.08455,7.1003,3.7627,4.0879,7.975,5.5785,0.9231
1/10/88,9.1061,8.6676,4.09316,7.1155,3.7701,4.0903,8.442,5.6236,0.8762
1/1/89,9.1162,8.6722,4.10352,7.1489,3.773,4.0908,9.432,5.6171,0.5586
1/4/89,9.1238,8.6768,4.11411,7.1391,3.7771,4.094,9.731,5.5934,0.6890
1/7/89,9.1312,8.6865,4.12139,7.1301,3.7862,4.0989,9.092,5.5526,1.9214
1/10/89,9.1332,8.6908,4.12849,7.1227,3.8004,4.099,8.646,5.554,1.9589
1/1/90,9.144,8.6992,4.13922,7.1325,3.8196,4.1084,8.249,5.5942,1.4490
1/4/90,9.1476,8.7022,4.15036,7.1329,3.8389,4.1153,8.238,5.6431,0.8368
1/7/90,9.1483,8.7062,4.1589,7.1133,3.8522,4.1186,8.171,5.6637,1.0940
1/10/90,9.1392,8.6986,4.16631,7.0557,3.8598,4.1081,7.778,5.6683,0.7468
1/1/91,9.1345,8.6948,4.17606,7.0219,3.8657,4.1113,6.515,5.7147,1.2294
1/4/91,9.1422,8.703,4.18338,7.0219,3.8847,4.1273,5.826,5.7348,1.1418
1/7/91,9.1473,8.708,4.19115,7.0415,3.8966,4.1359,5.702,5.752,0.3860
1/10/91,9.1508,8.7075,4.19708,7.0763,3.9098,4.1406,4.888,5.7635,0.3159
1/1/92,9.1627,8.7261,4.20079,7.0577,3.9355,4.1604,4.042,5.7948,0.8645
1/4/92,9.1734,8.7328,4.20678,7.1127,3.9447,4.1688,3.779,5.8312,0.0648
1/7/92,9.1833,8.7435,4.21165,7.1206,3.9562,4.1777,3.296,5.7784,0.1109
1/10/92,9.1937,8.7553,4.21851,7.1507,3.9616,4.1838,3.038,5.7991,0.7057
1/1/93,9.1953,8.7592,4.2241,7.174,3.9542,4.1751,3.038,5.7959,-0.2891
1/4/93,9.2011,8.7682,4.23003,7.1797,3.9615,4.1691,2.998,5.8385,0.4422
1/7/93,9.2059,8.7793,4.23596,7.1729,3.9619,4.1736,3.048,5.8747,0.4791
1/10/93,9.2194,8.788,4.2414,7.2241,3.9693,4.1775,3.002,5.9281,0.5938
1/1/94,9.2291,8.7994,4.24616,7.2615,3.9635,4.1805,3.19,6.0039,0.2827
1/4/94,9.2425,8.8072,4.25098,7.3095,3.9718,4.1812,3.918,6.0363,0.2004
1/7/94,9.2484,8.8148,4.2567,7.293,3.9715,4.1755,4.489,6.0861,0.0804
1/10/94,9.2597,8.8255,4.26212,7.3333,3.9793,4.1861,5.169,6.1161,-0.0201
1/1/95,9.2633,8.828,4.26751,7.3438,3.9851,4.1869,5.772,6.1476,0.1482
1/4/95,9.2663,8.8367,4.27231,7.3228,3.9933,4.1916,6.025,6.1968,0.9443
1/7/95,9.2747,8.8457,4.27722,7.3168,3.9988,4.1915,5.791,6.2121,1.7612